feature,horizon,decile,n,feat_lo,feat_hi,mean_bps,median_bps,hit,lift_bps,hit_lift
body,1,1,12676,-0.016358537598670543,-0.0011465965658034565,-0.12524290831966495,0.45054190269011585,0.5078100347112654,-0.1787979307521419,0.004271712751579337
body,1,2,12675,-0.0011465672054151127,-0.0006101567633530461,-0.05316414424765394,0.49712907956633856,0.5140828402366864,-0.1067191666801309,0.010544518277000314
body,1,3,12676,-0.0006101281269066504,-0.00032309133792123035,0.1907719658463869,0.5461497769565504,0.5257178920795204,0.13721694341390994,0.02217957011983429
body,1,4,12675,-0.0003230808994572241,-0.0001345080368552021,0.15333241185549198,0.47442831388133655,0.5155818540433925,0.09977738942301503,0.012043532083706454
body,1,5,12676,-0.00013450351390430074,1.486458364301216e-05,0.12194574171614547,0.13700782801606692,0.5003155569580309,0.06839071928366852,-0.0032227650016551923
body,1,6,12675,1.4945449110745778e-05,0.00018436578171091445,0.09648266251414087,0.0,0.49743589743589745,0.042927640081663915,-0.006102424523788619
body,1,7,12675,0.00018437427978796957,0.0003672420124862284,0.08838483265528063,0.0,0.49128205128205127,0.03482981022280368,-0.012256270677634795
body,1,8,12676,0.0003672420124862284,0.0006289724576271186,-0.052094477046032886,0.0,0.48769327863679396,-0.10564949947850984,-0.015845043322892105
body,1,9,12675,0.0006289967501834574,0.001116810059563203,-0.023810173822813408,0.0,0.49222879684418147,-0.07736519625529036,-0.011309525115504593
body,1,10,12676,0.0011169201520912547,0.02270699290846757,0.13894379648658378,0.26853578059315986,0.503234458819817,0.08538877405410683,-0.0003038631398690761
range,1,1,12676,0.0,0.0005022601707684581,0.05871125679347832,0.0,0.494714420952982,0.00515623436100137,-0.008823901006704049
range,1,2,12675,0.0005022601707684581,0.0006481611948710723,0.07141699866349681,0.0,0.49301775147928995,0.017861976231019858,-0.010520570480396119
range,1,3,12676,0.0006481721545242416,0.0008027062668424976,0.08491169954643896,0.2628658683423435,0.5026033449037551,0.031356677113962006,-0.0009349770559309301
range,1,4,12675,0.0008027136901525156,0.0009645268459972136,0.0996391415657518,0.0,0.4990138067061144,0.04608411913327484,-0.00452451525357167
range,1,5,12676,0.0009645268459972136,0.0011556442716814624,0.07940131555500754,0.41732187406440246,0.50765225623225,0.02584629312253059,0.004113934272563902
range,1,6,12675,0.0011556685542586387,0.0013877949064176138,0.023351375792548625,0.14220098687456328,0.5007495069033531,-0.030203646639928326,-0.002788815056332994
range,1,7,12675,0.0013877966415321275,0.0016976861167002013,0.10642043821573116,0.45978596963092144,0.5104536489151874,0.05286541578325421,0.006915326955501344
range,1,8,12676,0.0016977041815759918,0.002166148554798598,0.03943817223456725,0.38590765384816095,0.5092300410224045,-0.014116850197909703,0.005691719062718481
range,1,9,12675,0.002166149522861659,0.0030303030303030303,-0.0942762943714105,0.5175715542682369,0.510611439842209,-0.14783131680388745,0.007073117882522961
range,1,10,12676,0.0030303482661332456,0.03288987435328899,0.06653129045756788,0.4971146419630035,0.507336699274219,0.012976268025090928,0.003798377314532919
body_frac,1,1,12676,0.0,0.0967741935483871,0.11560788038118663,0.26423255635288356,0.5029977911012938,0.06205285794870968,-0.0005405308583922297
body_frac,1,2,12675,0.09693877551020408,0.19047619047619047,0.2719821844167612,0.48348885558269217,0.5136094674556213,0.21842716198428425,0.010071145495935241
body_frac,1,3,12676,0.19047619047619047,0.27906976744186046,0.0961575027889323,0.28080422351695056,0.5038655727358788,0.04260248035645535,0.00032725077619277787
body_frac,1,4,12675,0.27906976744186046,0.36585365853658536,-0.12524639705762725,0.23775558725569468,0.5026429980276134,-0.1788014194901042,-0.0008953239320727002
body_frac,1,5,12676,0.36585365853658536,0.4481132075471698,-0.05891898677908013,0.0,0.49944777532344586,-0.11247400921155709,-0.0040905466362402
body_frac,1,6,12675,0.44814814814814813,0.5294117647058824,0.023041742027769024,0.33041467041083905,0.504930966469428,-0.030513280404707927,0.0013926445097419693
body_frac,1,7,12675,0.5294117647058824,0.6111111111111112,0.04346810523847667,0.2768472633651875,0.5038264299802762,-0.010086917194000282,0.0002881080205900943
body_frac,1,8,12676,0.6111111111111112,0.6993865030674846,-0.024762763844598336,0.2081642589257804,0.5016566740296624,-0.07831778627707528,-0.0018816479300236555
body_frac,1,9,12675,0.699438202247191,0.8,-0.07956030359981722,0.0,0.49633136094674557,-0.13311532603229417,-0.007206961012940494
body_frac,1,10,12676,0.8,1.0,0.27377068251190695,0.33471688356212503,0.5060744714420953,0.22021566007943,0.0025361494824092112
close_loc,1,1,12676,0.0,0.10218978102189781,0.22728922135690902,0.5363512679568139,0.5218523193436415,0.17373419892443207,0.01831399738395545
close_loc,1,2,12675,0.10227272727272728,0.2,0.044182380223543344,0.466679111443824,0.5125049309664694,-0.009372642208933607,0.008966609006783366
close_loc,1,3,12676,0.2,0.3018867924528302,0.054171252611818335,0.3421845122963951,0.5065478068791417,0.0006162301793413844,0.0030094849194556295
close_loc,1,4,12675,0.3018867924528302,0.4117647058823529,0.09923884178960048,0.37543174650878086,0.5090335305719921,0.045683819357123526,0.005495208612306013
close_loc,1,5,12676,0.4117647058823529,0.524822695035461,0.08814654129144331,0.4184275756424771,0.5095455979804354,0.03459151885896636,0.0060072760207493525
close_loc,1,6,12675,0.524822695035461,0.6354515050167224,0.07429008400020415,0.0,0.49696252465483237,0.020735061567727198,-0.006575797304853692
close_loc,1,7,12675,0.6354679802955665,0.7368421052631579,0.015782863516002544,0.2639079489075158,0.502879684418146,-0.03777215891647441,-0.0006586375415400525
close_loc,1,8,12676,0.7368421052631579,0.8297872340425532,-0.052825867434176,0.0,0.4959766487851057,-0.10638088986665295,-0.007561673174580341
close_loc,1,9,12675,0.8297872340425532,0.9130434782608695,0.08616176936791328,0.0,0.4927810650887574,0.03260674693543633,-0.010757256870928655
close_loc,1,10,12676,0.9130434782608695,1.0,-0.10088276955952291,0.0,0.48729883243925526,-0.15443779199199986,-0.016239489520430805
upper_wick,1,1,12676,0.0,0.03508771929824561,-0.2138305321224175,0.0,0.49928999684443043,-0.26738555455489443,-0.004248325115255636
upper_wick,1,2,12675,0.03508771929824561,0.08108108108108109,-0.09020074641320532,0.16114477246365055,0.501301775147929,-0.14375576884568225,-0.002236546811757112
upper_wick,1,3,12676,0.08108108108108109,0.125,0.08203767112700384,0.3317961301585459,0.5056011360050489,0.028482648694526894,0.002062814045362793
upper_wick,1,4,12675,0.125,0.1746031746031746,-0.013797605442662215,0.0,0.49806706114398425,-0.06735262787513917,-0.005471260815701817
upper_wick,1,5,12676,0.1746031746031746,0.22746781115879827,0.10228421883632459,0.2718371755527915,0.5029977911012938,0.04872919640384764,-0.0005405308583922297
upper_wick,1,6,12675,0.2275449101796407,0.2857142857142857,0.032206706542104356,0.2581777812205033,0.5035108481262327,-0.021348315890372595,-2.7473833453361962e-05
upper_wick,1,7,12675,0.2857142857142857,0.35766423357664234,0.05545592575178423,0.4815795810264589,0.5145562130177515,0.0019009033193072775,0.011017891058065388
upper_wick,1,8,12676,0.35766423357664234,0.4444444444444444,0.11621894517173689,0.0,0.49834332597033765,0.06266392273925994,-0.0051949959893484166
upper_wick,1,9,12675,0.4444444444444444,0.5714285714285714,0.15828614891778203,0.33874191253779884,0.5069033530571992,0.10473112648530508,0.0033650310975131825
upper_wick,1,10,12676,0.5714285714285714,1.0,0.3068795657427807,0.3283644993878898,0.5048122436099716,0.25332454331030374,0.0012739216502855033
lower_wick,1,1,12676,0.0,0.037037037037037035,0.19053848918739716,0.12427034633777367,0.5001577784790154,0.1369834667549202,-0.003380543480670628
lower_wick,1,2,12675,0.037037037037037035,0.08695652173913043,0.3421693520629199,0.4163717366867381,0.5103747534516765,0.2886143296304429,0.0068364314919904245
lower_wick,1,3,12676,0.08695652173913043,0.13636363636363635,0.01584304564828643,0.0,0.4977911012937835,-0.03771197678419052,-0.005747220665902553
lower_wick,1,4,12675,0.13636363636363635,0.1875,-0.029119175537152132,0.13242752903375177,0.500276134122288,-0.08267419796962908,-0.0032621878373980673
lower_wick,1,5,12676,0.1875,0.24786324786324787,0.00888166016770329,0.1458338058446529,0.5004733354370464,-0.04467336226477366,-0.0030649865226396455
