rank,slice,hv,regime,avg_range,mean_vol,vol_range,volume
108,2017-12,6.15,low,0.707,0.281,1.162,5482528
109,2017-09,6.03,low,0.626,0.296,0.944,5806805
110,2019-04,6.03,low,0.678,0.333,0.674,8155962
111,2017-10,5.83,low,0.52,0.231,1.365,5488235
112,2015-02,5.39,low,0.632,0.33,1.164,3982918
113,2016-10,5.36,low,0.623,0.235,0.888,4708695
114,2017-04,5.16,low,0.557,0.243,0.552,4373600
115,2019-11,5.14,low,0.644,0.264,0.591,6655581
116,2017-03,4.89,low,0.508,0.217,1.101,4978371
117,2016-07,4.82,low,0.607,0.297,0.803,3856103
118,2017-01,4.4,low,0.508,0.257,0.52,3621653
119,2016-08,3.38,low,0.462,0.164,0.75,4050048
120,2017-02,3.25,low,0.423,0.217,0.373,3393613
