horizon_bars,mean_return_pct,mean_drawdown_pct,win_pct,ret_over_dd
1.000000000000000000e+00,2.116610238866950631e-03,-4.201521366957506470e-02,4.831460674157303714e+01,5.037723372092892116e-02
2.000000000000000000e+00,5.770126533804356174e-03,-5.748196028028229598e-02,4.876404494382022392e+01,1.003815197962837913e-01
3.000000000000000000e+00,5.201730689228544792e-03,-6.958729967080097556e-02,4.786516853932584326e+01,7.475115019316097564e-02
4.000000000000000000e+00,6.279683154656286355e-03,-8.176127636506098917e-02,4.674157303370786565e+01,7.680510180171037926e-02
5.000000000000000000e+00,1.203151123434997210e-03,-9.310568190799659027e-02,4.606741573033708192e+01,1.292242426862738949e-02
6.000000000000000000e+00,4.067304154642603295e-03,-1.023359370292842713e-01,4.494382022471909721e+01,3.974463197106125473e-02
7.000000000000000000e+00,5.635588176275387051e-03,-1.116792994007849704e-01,4.764044943820224631e+01,5.046224507597309866e-02
8.000000000000000000e+00,7.887022907881418091e-03,-1.187379525476831288e-01,4.629213483146067176e+01,6.642377385372318088e-02
9.000000000000000000e+00,1.063368719823209671e-02,-1.263420714925233279e-01,4.764044943820224631e+01,8.416584493678637424e-02
1.000000000000000000e+01,8.960370693821651661e-03,-1.337977172374691937e-01,4.696629213483146259e+01,6.696953340331247839e-02
1.100000000000000000e+01,5.590792675076444208e-03,-1.406103784825438185e-01,4.471910112359550737e+01,3.976088205872027603e-02
1.200000000000000000e+01,5.029818667662291909e-03,-1.462675316168950412e-01,4.696629213483146259e+01,3.438780030031838436e-02
1.300000000000000000e+01,7.199208226750899650e-03,-1.518218394248208314e-01,4.584269662921347788e+01,4.741879201322550530e-02
1.400000000000000000e+01,1.153148823312007826e-02,-1.569239606258806541e-01,4.696629213483146259e+01,7.348456021073845879e-02
1.500000000000000000e+01,1.143128153677384733e-02,-1.610462612264856874e-01,4.494382022471909721e+01,7.098135312000559971e-02
1.600000000000000000e+01,1.208567111705774466e-02,-1.644530327396249436e-01,4.786516853932584326e+01,7.349010787896344266e-02
1.700000000000000000e+01,8.848852001097421566e-03,-1.688575591206217252e-01,4.561797752808988804e+01,5.240423968687319550e-02
1.800000000000000000e+01,1.133762706409368985e-02,-1.720891450036159398e-01,4.853932584269662698e+01,6.588229062242981215e-02
1.900000000000000000e+01,9.754930008631673699e-03,-1.759941308349759204e-01,4.898876404494382086e+01,5.542758705844889888e-02
2.000000000000000000e+01,6.456749093999667767e-03,-1.804175557262341356e-01,4.943820224719100764e+01,3.578780938478708096e-02
2.100000000000000000e+01,9.550599283448353224e-03,-1.839591331690229037e-01,4.943820224719100764e+01,5.191696176711812355e-02
2.200000000000000000e+01,9.603404895035725503e-03,-1.883434756977824254e-01,5.011235955056180558e+01,5.098878450371932547e-02
2.300000000000000000e+01,1.186870060136730257e-02,-1.918030292637735446e-01,4.921348314606741781e+01,6.187963061336790999e-02
2.400000000000000000e+01,1.327276818343636061e-02,-1.961873025913819513e-01,4.921348314606741781e+01,6.765355355887034405e-02
2.500000000000000000e+01,6.274051785676693950e-03,-2.001980927539946942e-01,4.876404494382022392e+01,3.133921856781277104e-02
2.600000000000000000e+01,6.957239467479245897e-03,-2.038633972595156330e-01,4.921348314606741781e+01,3.412696718000222951e-02
2.700000000000000000e+01,7.839920266555867878e-03,-2.077646675331930592e-01,4.876404494382022392e+01,3.773461753453984102e-02
2.800000000000000000e+01,1.284325277460582164e-02,-2.102693697457989341e-01,4.831460674157303714e+01,6.107999843311663624e-02
2.900000000000000000e+01,1.132835501197317768e-02,-2.130358819422630556e-01,4.651685393258426870e+01,5.317580732734679405e-02
3.000000000000000000e+01,1.418909567195628108e-02,-2.166526464064873481e-01,4.876404494382022392e+01,6.549237180945605141e-02
3.100000000000000000e+01,1.418730546287449296e-02,-2.188250822479487767e-01,4.876404494382022392e+01,6.483400036746693462e-02
3.200000000000000000e+01,1.565584791489525382e-02,-2.210428133526811667e-01,5.011235955056180558e+01,7.082721974731577552e-02
3.300000000000000000e+01,1.658147843574717464e-02,-2.243600842465977574e-01,5.011235955056180558e+01,7.390565256483949685e-02
3.400000000000000000e+01,1.892632199463382611e-02,-2.265042092480178126e-01,5.213483146067415674e+01,8.355836766772781199e-02
3.500000000000000000e+01,2.077284860213503281e-02,-2.285286801550156233e-01,5.191011235955056691e+01,9.089821281094517813e-02
3.600000000000000000e+01,2.435207294407370007e-02,-2.299721905297006375e-01,5.191011235955056691e+01,1.058913814230449668e-01
3.700000000000000000e+01,2.598489859713734584e-02,-2.324353751943688540e-01,4.943820224719100764e+01,1.117940785709062579e-01
3.800000000000000000e+01,2.366641888373409441e-02,-2.349862582318901771e-01,4.921348314606741781e+01,1.007140547783840767e-01
3.900000000000000000e+01,2.523180463819801184e-02,-2.366190831054718613e-01,5.123595505617976897e+01,1.066346987193380891e-01
4.000000000000000000e+01,2.506108461094526743e-02,-2.380964553151198593e-01,5.033707865168539541e+01,1.052560172631591962e-01
4.100000000000000000e+01,2.846738296998718373e-02,-2.391437574515720144e-01,5.078651685393258219e+01,1.190387876871592254e-01
4.200000000000000000e+01,3.029474655327269242e-02,-2.406224295428080473e-01,4.988764044943820153e+01,1.259015903498019173e-01
4.300000000000000000e+01,3.169662633156184600e-02,-2.423127855907393768e-01,5.146067415730336592e+01,1.308087241632255593e-01
4.400000000000000000e+01,3.437903055520635798e-02,-2.437264354988191162e-01,5.078651685393258219e+01,1.410558131900834788e-01
4.500000000000000000e+01,3.690700416596413846e-02,-2.455169554503914275e-01,5.191011235955056691e+01,1.503236470909296574e-01
4.600000000000000000e+01,3.666839097320373497e-02,-2.474028629459920359e-01,5.325842696629214146e+01,1.482132847476725912e-01
4.700000000000000000e+01,3.726313409827647360e-02,-2.496004136052948352e-01,5.213483146067415674e+01,1.492911552510584605e-01
4.800000000000000000e+01,4.370524934896528185e-02,-2.510709135607905318e-01,5.370786516853932824e+01,1.740753189173510074e-01
4.900000000000000000e+01,4.276707573736088924e-02,-2.523212568973624559e-01,5.235955056179775369e+01,1.694945414557656183e-01
5.000000000000000000e+01,4.125405955700035127e-02,-2.539291196839371656e-01,5.325842696629214146e+01,1.624628936151507053e-01
5.100000000000000000e+01,3.991515191403781360e-02,-2.563084614258274163e-01,5.280898876404494047e+01,1.557309177074857331e-01
5.200000000000000000e+01,4.448528083563697139e-02,-2.579923345426266001e-01,5.325842696629214146e+01,1.724286921721967791e-01
5.300000000000000000e+01,4.177853259056046181e-02,-2.602241563858817552e-01,5.258426966292134352e+01,1.605482487513873180e-01
5.400000000000000000e+01,4.338450416294577922e-02,-2.619560174872002656e-01,5.258426966292134352e+01,1.656175131196046535e-01
5.500000000000000000e+01,4.208508832464714217e-02,-2.638660110730796649e-01,5.213483146067415674e+01,1.594941620313173325e-01
5.600000000000000000e+01,3.999185880083977462e-02,-2.654278212713151452e-01,5.235955056179775369e+01,1.506694309936744691e-01
