param,value,sharpe_is,sharpe_oos,oos_round_trips
htf_gate,30,0.769869513065147,-0.1960279180013092,130
htf_gate,40,0.7768374775306612,-0.12406931660977058,117
htf_gate,50,0.788336317438966,-0.22645844516130792,89
htf_gate,60,0.6299501433340289,0.06620433330103928,61
htf_gate,70,0.6763201866774913,0.0512564094423731,47
atr_mult,2,0.8459359201744776,1.3085191308017763,504
atr_mult,3,0.9480449482010518,1.0582371678001739,431
atr_mult,4,0.6930923961401633,-0.3476775713206916,146
atr_mult,5,0.788336317438966,-0.22645844516130792,89
atr_mult,6,0.6610706673972973,-0.26972235819424684,40
atr_mult,7,0.5262743872703394,-0.22718507095745757,20
atr_mult,8,0.5263301483407553,-0.18887849127512868,12
ltf_fan_eps,0.01,0.015582255628055068,0.13198381263363768,93
ltf_fan_eps,0.02,0.13164516074515642,-1.0832038280888334,68
ltf_fan_eps,0.03,0.788336317438966,-0.22645844516130792,89
ltf_fan_eps,0.04,0.38766411106107057,-0.44203769747277977,35
ltf_fan_eps,0.05,0.23085133766762392,-0.2846657377879005,15
ltf_fan_eps,0.07,0.5336979391254125,-0.4454561363187788,5
